super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
7531,Academy Of Art University,3,10,Four-year for-profit,1,4,CA,37800,San Francisco,6075,San Francisco,0,495.6666666666670,0.4142569,0.34508148,0.01635739,0.0013608988,166594.9696116340,92300,0.649209833337544,0.093524233,0.12291715,0.1753495,0.21152514,0.39668405,0.24404958,0.14739551,0.035681199,0.0033683486,0.51605916,39988.01720641390,27400,36300,0.18639259,0.20586628,0.19378209,0.18086788,0.15814623,0.26133758,0.16304491,0.087273344,0.014030807,0.46328181,0.50448275,0.50762242,0.5176,0.53499699,0.26703009,0.18542577,0.20629373,0.16635033,0.17490003,0.20905481,0.19157112,0.21893194,0.13638723,0.24405494,0.19975942,0.22083299,0.18134363,0.14692578,0.25113821,0.1993628,0.192634,0.1671838,0.1889049,0.25191447,0.19662528,0.18509193,0.17016526,0.15151256,0.29660493,0.014551297,0.011080111,0.0037515434,0.0030415235,0.025226077,0.26182237,0.29487798,0.32891592,0.37458456,0.37168089,0,0
1124,Cabrillo College,1,9,Two-year (public and private not-for-profit),2,4,CA,37500,San Jose,6087,Santa Cruz,0,1641,0.49319521,0.40492013,0.017490042,0.00026631006,103351.7814515410,70200,0.5603035700023360,0.14195026,0.18660159,0.19420433,0.20257413,0.27466977,0.15029858,0.07159704,0.011204088,0.0015934999,0.49451822,33680.19710931150,26500,34600,0.18369289,0.20013011,0.20353834,0.1961267,0.20350136,0.19670358,0.099821627,0.049432043,0.0047565312,0.4391585,0.48699528,0.48529747,0.52095854,0.51525825,0.22877499,0.26367694,0.20210756,0.18222801,0.12321246,0.19306761,0.20063286,0.23131509,0.20656674,0.16841772,0.20695587,0.19837014,0.21212435,0.19920447,0.18334509,0.18454394,0.19082193,0.17916134,0.2190581,0.22641471,0.19679326,0.18746503,0.17033103,0.20397763,0.24143304,0.0018760801,0.0032608677,0.005149941,0.0076893447,0.0048200968,0.33740526,0.37079555,0.41635919,0.42535716,0.43983442,0,0
1127,California College Of The Arts,2,8,Nonselective four-year private not-for-profit,1,4,CA,37800,San Francisco,6075,San Francisco,0,123.6666666666670,0.58221024,0.34035909,0.0085592549,0.000088134249,160342.7457884100,90100,0.6611192316379190,0.077750891,0.11223492,0.19071911,0.209786,0.40950912,0.26662317,0.17065772,0.037290487,0.0053165178,0.51260179,37838.00830736190,29700,35100,0.1527956,0.18168238,0.2100603,0.18084139,0.19107684,0.23633912,0.1410628,0.063271552,0.010904078,0.40011266,0.5573988,0.52051353,0.52078241,0.51380622,0.27655163,0.19075753,0.20948035,0.21312474,0.11008562,0.13448791,0.22950199,0.17862459,0.12638739,0.33099809,0.13751538,0.30434716,0.13278899,0.20736311,0.21798535,0.17118265,0.20662965,0.21335182,0.14961289,0.25922301,0.20255341,0.16624241,0.18173604,0.21827677,0.23119141,0.0011335465,0.00064183638,0.014572905,0.013087369,0.012744599,0.29351068,0.25455314,0.33603576,0.34389561,0.37297261,0,0
22202,California Culinary Academy,3,11,Two-year for-profit,2,4,CA,37800,San Francisco,6075,San Francisco,0,154,0.38528138,0.37816384,0.016258487,0,110464.0924648270,66000,0.5842344386753070,0.12081306,0.1641795,0.19600943,0.23274744,0.28625065,0.14337744,0.072838202,0.020360259,0.00018318516,0.51063663,34039.54724702380,27900,32600,0.16510777,0.18415087,0.20907392,0.21895388,0.21021137,0.17761005,0.075458795,0.042485572,0.0016152626,0.48157111,0.51078564,0.48102599,0.56344187,0.50015867,0.11462756,0.25437436,0.27487764,0.22154492,0.13457558,0.19523394,0.23759432,0.25065681,0.20444632,0.11206868,0.21952601,0.19445604,0.21550119,0.1950326,0.17548409,0.089854375,0.18393894,0.22415297,0.32533506,0.17671861,0.25958511,0.20404325,0.17530464,0.12552227,0.23554479,0,0,0.0020712875,0,0.0042245169,0.34644097,0.28775176,0.34761229,0.40287673,0.44423479,0,0
1134,California Maritime Academy,1,5,Selective public,1,4,CA,37800,San Francisco,6095,Solano,0,92,0.15217391,0.58743018,0.050363775,0.0035986267,132454.2233922100,113100,0.7121309275212500,0.059269119,0.072541684,0.16307126,0.1991287,0.50598931,0.26830462,0.13837093,0.0074594053,0.00012824663,0.79060483,89270.2313745471,85800,88700,0.062463611,0.072683036,0.039542455,0.085179627,0.08295989,0.71963501,0.5728004,0.38575575,0.043211576,0.91554278,0.73533565,0.71771181,0.78273946,0.81048131,0,0,0.15025267,0,0.8497473,0.13624872,0.10912593,0.0081564607,0.097542807,0.64892596,0.092071936,0.045456413,0.12663178,0.15911642,0.57672346,0.091225222,0.012231395,0.13360965,0.060416188,0.70251751,0.058537751,0.043040477,0.056181192,0.074914739,0.76732582,0.060716722,0.00012569745,0.00014118115,0.035612535,0.064209521,0.78758609,0.35577622,0.43972114,0.56915241,0.65199316,0,0
1138,"California State University, East Bay",1,5,Selective public,1,4,CA,37800,San Francisco,6001,Alameda,0,696.6666666666670,0.65980864,0.53623867,0.043488853,0.00092883303,104528.779388457,86000,0.6212438907634700,0.098883428,0.13321358,0.18099461,0.23088065,0.35602769,0.17157997,0.066232383,0.0052334913,0.00092704536,0.66516989,55258.10369318180,51300,55300,0.095104732,0.10568843,0.10614551,0.11890747,0.22206342,0.44719511,0.23678142,0.11186274,0.012926224,0.63837409,0.64582962,0.61954892,0.67854762,0.6943658,0.13078684,0.12536213,0.12446692,0.17958491,0.43979919,0.082559869,0.1176452,0.1834088,0.22127017,0.39511591,0.15622707,0.12188502,0.12396188,0.21174856,0.38617751,0.093548834,0.1103902,0.09137518,0.25105244,0.45363334,0.089551501,0.08575131,0.10851407,0.22060299,0.49558014,0.0093932124,0.0071429447,0.010668484,0.016520444,0.014888348,0.5075599,0.46212378,0.50240856,0.55884057,0.57447642,0,0
32603,"California State University, Monterey Bay",1,5,Selective public,1,4,CA,37500,San Jose,6053,Monterey,0,322.6666666666670,0.58884299,0.50071526,0.033873096,0.0010347271,123045.0469718490,93200,0.641400318130974,0.10497926,0.13239628,0.15644029,0.20848399,0.39770016,0.22675908,0.1093564,0.013763507,0.0010497995,0.60468066,44659.59198250260,41100,45400,0.11308184,0.11770299,0.12061158,0.1880867,0.26292062,0.31067812,0.12900144,0.050999805,0.0084030051,0.62944818,0.57613128,0.57917988,0.60379636,0.61814177,0.087537438,0.092312977,0.19969936,0.29778558,0.32266465,0.14822754,0.12611562,0.24151307,0.21994385,0.26419997,0.15057437,0.12472446,0.16332532,0.30385876,0.2575171,0.1095059,0.13894618,0.1888659,0.26800293,0.29467911,0.10687065,0.11501982,0.17656718,0.24925685,0.3522855,0.0098564904,0,0.000085306754,0,0.018493664,0.51357347,0.50017643,0.45849895,0.49953973,0.51472306,0,0
23328,Center For Employment Training,2,12,Less than two-year schools of any type,3,4,CA,37500,San Jose,6085,Santa Clara,0,290,0.55517244,0.32362455,0.01181031,0.000089654903,39084.00911458330,29300,0.2765947679678600,0.42773962,0.33106402,0.16342795,0.050687097,0.027081355,0.0068450579,0.0066486006,0.00081679143,0.0001685764,0.41186032,21629.48828125,16300,18800,0.14686425,0.16606069,0.37443635,0.23817849,0.15504231,0.066282138,0.036079161,0.0012258566,0.0012258566,0.38586584,0.41653144,0.46703273,0.39745796,0.45933616,0.141922,0.49320498,0.21912019,0.11814182,0.02761098,0.21303526,0.26763508,0.29176497,0.16092947,0.066635221,0.11819893,0.34747544,0.20484459,0.21181184,0.11766914,0.23801437,0.25276479,0.20776664,0.17727612,0.12417806,0.12722631,0.19458503,0.1421936,0.28170034,0.25429475,0.00020960158,0.00027124883,0.00099364726,0.0083539095,0.026245203,0.29519212,0.33804223,0.37316257,0.30226105,0.33748806,1,1
201,Chabot-Las Positas Community College District,1,9,Two-year (public and private not-for-profit),2,4,CA,37800,San Francisco,6001,Alameda,1,2381.666666666670,0.49657103,0.41821817,0.015573887,0.000035123412,101121.4640307910,84000,0.614270591068468,0.092919216,0.14164805,0.19660956,0.24656263,0.32226056,0.14778621,0.049529083,0.0063930103,0.00087622483,0.55527413,40258.29423602610,35200,40700,0.14153214,0.15942134,0.16001087,0.18574533,0.23393416,0.26088834,0.12640406,0.060553059,0.0051021478,0.47595662,0.52741396,0.53890896,0.56972378,0.58931881,0.21824749,0.20398287,0.20445712,0.20570579,0.16760674,0.1585834,0.18814617,0.20405652,0.24186385,0.20735011,0.17872618,0.16429077,0.18564416,0.2378788,0.23346017,0.14352579,0.149216,0.19349495,0.23412174,0.27964151,0.14321192,0.1406135,0.16643392,0.23603782,0.31370285,0.00037799944,0.0030759657,0.0036527594,0.0083559453,0.0057496591,0.32108352,0.34596604,0.40887672,0.44229758,0.46525949,0,0
1178,College Of Marin,1,9,Two-year (public and private not-for-profit),2,4,CA,37800,San Francisco,6041,Marin,0,580.6666666666670,0.44603902,0.29013917,0.017165836,0.00044565537,118352.052375592,82000,0.6126473654322450,0.11661103,0.15394269,0.17459628,0.19701596,0.35783404,0.20684277,0.10949881,0.016893512,0.0016480166,0.50812858,36083.40979186100,29700,38200,0.18054889,0.20808002,0.17612645,0.18871023,0.21658909,0.21049425,0.11735298,0.061848104,0.0094538406,0.44826818,0.48843485,0.52947491,0.48306254,0.53949374,0.25938037,0.20479049,0.18154332,0.2070799,0.14720593,0.21341637,0.18463291,0.2135168,0.20613694,0.18229695,0.19125794,0.14392737,0.20247057,0.24136977,0.22097442,0.20330925,0.21359584,0.20873547,0.21957211,0.1547873,0.19990113,0.15820673,0.1626343,0.21045101,0.26880687,0.0038217255,0.007973684,0.0071998383,0.012625973,0.011279283,0.24243112,0.30696815,0.32483327,0.28809643,0.28264293,0.71125144,1
44,Contra Costa Community College District,1,9,Two-year (public and private not-for-profit),2,4,CA,37800,San Francisco,6013,Contra Costa,1,4957.666666666670,0.48887244,0.40162104,0.017630978,0.00062227977,108743.3619157830,85400,0.621625185345446,0.096791759,0.12763196,0.19278003,0.24187419,0.34092206,0.1643429,0.068096958,0.0078492649,0.00084147573,0.53796673,38786.84561605970,32900,40000,0.16563113,0.18369369,0.1706102,0.17106313,0.22032276,0.25431025,0.12546332,0.060680881,0.0068426025,0.47319052,0.50321007,0.52922088,0.54561239,0.56889045,0.23151998,0.20605752,0.18832378,0.19194496,0.1821537,0.20067611,0.19730441,0.17564574,0.23822844,0.18814529,0.18396443,0.17954651,0.1807626,0.22875018,0.22697631,0.17871048,0.16262703,0.18044728,0.22188984,0.25632536,0.16713984,0.15116337,0.1523045,0.21579888,0.31359342,0.0064290571,0.0036296798,0.0027430949,0.0067378413,0.010555304,0.33814394,0.33669463,0.38960317,0.43252212,0.42882195,0,0
1196,Dominican University Of California,2,6,Selective private,1,4,CA,37800,San Francisco,6041,Marin,0,137.6666666666670,0.76029056,0.50909108,0.031980876,0.0024441697,163987.1190034810,98100,0.684231013420419,0.060711909,0.12911583,0.1603592,0.23964556,0.41016746,0.24089342,0.12724848,0.025760667,0.0046998914,0.63858461,55005.75188218830,45200,47800,0.094191425,0.10421716,0.11565635,0.13340232,0.24900806,0.3977161,0.23085591,0.11253086,0.023839733,0.64460576,0.60183883,0.62102407,0.61524957,0.66975993,0.098431855,0.15285662,0.096454434,0.1254926,0.52676445,0.10895909,0.17521837,0.088300236,0.35403946,0.27348283,0.10141417,0.10852068,0.17852896,0.26565421,0.34588197,0.093173184,0.14795314,0.1673844,0.25028408,0.34120524,0.11112925,0.075320587,0.11557167,0.22697434,0.47100416,0.04025849,0.00053141767,0.015828067,0.025551813,0.030878592,0.47216874,0.47261736,0.427517,0.5850305,0.51356149,0.78208232,1
19,Foothill-Deanza Community College District,1,9,Two-year (public and private not-for-profit),2,4,CA,37500,San Jose,6085,Santa Clara,1,4000.666666666670,0.46625564,0.37794676,0.0255091,0.0010827183,120318.385189057,80200,0.6006299420369310,0.12964211,0.14418896,0.1846675,0.20025575,0.34124559,0.20239039,0.10193549,0.016573552,0.0020822969,0.54980844,42251.74621319620,33900,41800,0.16442747,0.18059021,0.16318588,0.16982815,0.20614934,0.28024632,0.15197046,0.080467254,0.012971641,0.48553318,0.52285814,0.55165422,0.56530762,0.5755204,0.22922443,0.20014672,0.18043594,0.19342738,0.19676554,0.19070053,0.18542194,0.18233158,0.20872204,0.23282388,0.18035103,0.14864598,0.17333917,0.23053521,0.26712859,0.16464017,0.15220131,0.17810521,0.21118595,0.29386726,0.1673312,0.15406314,0.15375771,0.1937433,0.33110467,0.0083515933,0.0058076414,0.013075911,0.0095568988,0.019701371,0.32819569,0.35095164,0.37885109,0.39179677,0.39963704,0,0
1202,Gavilan College,1,9,Two-year (public and private not-for-profit),2,4,CA,37500,San Jose,6085,Santa Clara,0,588.6666666666670,0.51245755,0.41951919,0.01774694,0.000011274576,96273.36366170020,80500,0.5895995254694810,0.11510088,0.16547424,0.18107636,0.22586635,0.31248212,0.15773088,0.062647261,0.0059015811,0.00066988298,0.52100301,35232.76896499860,29800,35800,0.15246552,0.16407587,0.20086946,0.20348585,0.22424439,0.2073244,0.10343022,0.048731051,0.0051179207,0.48108459,0.4959242,0.49436504,0.52817166,0.55924177,0.18982323,0.20877974,0.24367145,0.20353961,0.15418597,0.16209175,0.22247046,0.23374562,0.20698529,0.17470686,0.20084824,0.2074493,0.18502566,0.24833414,0.1583427,0.16106203,0.21093516,0.18981864,0.21838175,0.2198025,0.13651235,0.17542852,0.19323584,0.23128855,0.26353467,0.000097953867,0.00016863056,0.0030527993,0.0065276013,0.0097656371,0.3325136,0.36616856,0.43995324,0.44556046,0.44915491,0,0
1209,Hartnell Community College,1,9,Two-year (public and private not-for-profit),2,4,CA,37500,San Jose,6053,Monterey,0,1280,0.49192709,0.41353858,0.02964537,0.00049789879,65456.23266906740,51800,0.4641159100302810,0.19784145,0.24128802,0.23553401,0.18365359,0.14168292,0.046252944,0.016072478,0.0015246617,0.00053894334,0.52118742,34724.02799479170,30500,36100,0.15235519,0.1652959,0.18514007,0.21637131,0.24070045,0.19249225,0.085930556,0.031325996,0.0037501818,0.49079081,0.51804459,0.52301276,0.53410739,0.54920286,0.17519313,0.20698448,0.23824225,0.22973602,0.14984408,0.1574485,0.18068358,0.2524904,0.24837609,0.16100144,0.16041549,0.19493312,0.19009548,0.25548697,0.19906899,0.16624387,0.17045327,0.19872884,0.24107006,0.22350392,0.17172445,0.1649842,0.19086987,0.21787892,0.25454256,0.0025166555,0.0010210931,0.0012310272,0.0049852026,0.012707292,0.38866612,0.40820754,0.404093,0.4141058,0.47231564,0,0
30357,Las Positas College,1,9,Two-year (public and private not-for-profit),2,4,CA,37800,San Francisco,6001,Alameda,0,988.5,0.48254931,0.48959401,0.0080153681,0.000088935623,138317.9166666670,109500,0.7038278381029760,0.04872369,0.089297518,0.13924924,0.24402051,0.4787091,0.252271,0.10724624,0.019541621,0.0024977911,0.56758934,43559.75651041670,37300,44500,0.1464114,0.16399807,0.15978637,0.16401966,0.21762225,0.29457366,0.15208563,0.077027835,0.0097054755,0.52088785,0.51906741,0.56700814,0.53997105,0.59564114,0.15283486,0.19744149,0.23210464,0.25311241,0.16450658,0.17780331,0.19700658,0.18909471,0.25702792,0.17906751,0.14864355,0.16671379,0.18685316,0.21899855,0.27879089,0.17338133,0.18473694,0.15630083,0.20873395,0.27684698,0.16224237,0.13427724,0.14970514,0.21078978,0.34298542,0.0018253055,0.0043192264,0.0083857346,0.011291687,0.011087597,0.36294422,0.46141997,0.50169075,0.49834862,0.49975872,1,1
